asin,product_title,product_price,product_original_price,product_star_rating,product_num_ratings,is_amazon_choice,sales_volume,discount,date
B00730QW70,"Advion Cockroach Gel Bait, 4 Tubes x 30-Grams, 4 Plunger and 4 Tips, German Roach Insect Pest Control, Indoor and Outdoor Use, Roach Killer Gel for American, German and Other Major Cockroach Species",26.7,35.0,4.6,66137,True,30K+ bought in past month,23.71,2025-09-02
B08C3PPYSV,"Advion Ant Gel Bait, 1 30-Gram Tube, 1 Plunger and 1 Tip, Effective Bait, Formulated with 0.05% Indoxacarb, Indoor and Outdoor Use, Killer Gel for Control of Most Major Ant Species",13.49,16.99,4.5,5840,False,10K+ bought in past month,20.6,2025-09-02
B000QRAXSG,"Combat Max Roach Killing Gel for Indoor and Outdoor Use, 1 Syringe, 2.1 Ounce (Pack of 1)",8.99,9.99,4.3,26171,False,10K+ bought in past month,10.01,2025-09-02
B07XRSC5WZ,"Advion Ant Gel Bait, 4 Tubes x 30-Grams, 1 Plunger and 2 Tips, Effective Ant Bait, Formulated with 0.05% Indoxacarb, Indoor and Outdoor Use, Ant Killer Gel for Control of Most Major Ant Species",39.59,,4.6,2971,True,2K+ bought in past month,,2025-09-02
B09F7Q9VSS,"Terro T502 Ready-to-Use Indoor Cockroach Gel Bait Killer - Kills German, American, Oriental Roaches, 3 oz",15.95,19.99,4.2,5997,True,3K+ bought in past month,20.21,2025-09-02
B0BMNZBHG1,Atticus Savitri Ant Gel Bait (4 x 30 Grams) - Indoor and Outdoor Use - Indoxacarb Ant Killer,34.99,34.99,4.4,1579,False,5K+ bought in past month,,2025-09-02
B006AU57W0,Vendetta Roach Gel Bait Insecticide - 4 Tubes x 30gms MGK1003,27.7,27.7,4.6,5854,True,3K+ bought in past month,,2025-09-02
B0D9PPG39W,"Roach Gel Bait Indoor and Outdoor: Cockroach Killer Repellents for German Cockroaches, Small Roaches – Cockroach Deterrent for Homes and Kitchens – Pet Safe Roach Control 4-Tubes",24.99,29.99,4.4,179,False,700+ bought in past month,16.67,2025-09-02
B0DMVR83MW,Roach Killer Indoor Infestation for Home(4 PCS) - German Cockroach Killer with 99% Efficacy (97% USA) - Cockroach Gel Bait Syringes - Fipronil 0.05% - Get Fast Results,29.95,,4.3,69,False,700+ bought in past month,,2025-09-02
B0148W0WOE,"Advion Cockroach Gel Bait, 4 Tubes x 30-Grams, 1 Plunger and 2 Tips, German Roach Insect Pest Control, Indoor and Outdoor Use, Roach Killer Gel for American, German and Other Major Cockroach Species",26.15,35.0,4.6,52919,True,70K+ bought in past month,25.29,2025-09-02
